@relation EECBDataNoFillerFeaturesMeanAvgd-weka.filters.unsupervised.attribute.Remove-R2-16

@attribute F0 numeric
@attribute Label {POS,NEG}

@data
0.417358,POS
0.353211,POS
0.31497,POS
0.424056,POS
0.190932,POS
1,POS
-0.274752,POS
0.076605,POS
0.375809,POS
1,POS
1,POS
0.424179,POS
0.350801,POS
0.651526,POS
1,POS
0.316078,POS
0.096496,POS
1,POS
0.350801,POS
1,POS
0.051076,POS
0.377774,POS
0.31681,POS
0.476076,POS
0.485499,POS
0.58741,POS
0.367382,POS
0.510982,POS
1,POS
0.580339,POS
1,POS
0.078414,POS
0.516964,POS
0.382952,POS
0.062584,POS
0.660962,POS
0.204546,POS
0.547135,POS
0.318656,POS
-0.052217,POS
0.612339,POS
0.121793,POS
-0.195528,POS
0.098,POS
0.662863,POS
0.354798,POS
0.607659,POS
0.300125,POS
1,POS
0.662863,POS
0.325522,POS
0.316749,POS
0.230769,POS
0.20228,POS
0.517645,POS
0.412367,POS
0.624266,POS
0.511805,POS
0.265114,POS
1,POS
1,POS
0.550452,POS
0.048338,POS
-0.186964,POS
0.076605,POS
0.243617,POS
0.27977,POS
0.140282,POS
0.132775,POS
0.122022,POS
1,POS
0.514558,POS
0.342468,POS
0.247302,POS
1,POS
-0.010221,POS
0.368901,POS
0.351222,POS
0.325522,POS
1,POS
0.485499,POS
0.39142,POS
1,POS
-0.114296,POS
0.582996,POS
0.188708,POS
1,POS
1,POS
1,POS
0.275413,POS
1,POS
0.491117,POS
0.121898,POS
0.368811,POS
0.329394,POS
0.247343,POS
0.185284,POS
0.104637,POS
1,POS
0.580339,POS
0.398388,POS
0.511805,POS
1,POS
0.54585,POS
0.027275,POS
1,POS
1,POS
-0.099605,POS
0.017404,POS
1,POS
-0.063805,POS
0.177441,POS
0.076605,POS
0.504604,POS
0.417358,POS
0.664068,POS
0.38126,POS
-0.018855,POS
1,POS
0.530399,POS
0.565843,POS
0.620039,POS
0.425641,POS
0.047057,POS
1,POS
1,POS
0.49087,POS
0.43198,POS
0.325522,POS
0.401077,POS
-0.026291,POS
1,POS
0.131124,POS
-0.115599,POS
0.149593,POS
0.190723,POS
0.172536,POS
0.285383,POS
0.46438,POS
0.470049,POS
1,POS
0.550452,POS
-0.007741,POS
0.474795,POS
1,POS
0.059854,POS
0.530399,POS
0.183297,POS
0.404939,POS
0.718447,POS
0.37685,POS
1,POS
0.143995,POS
0.37685,POS
1,POS
0.493768,POS
-0.114614,POS
0.414596,POS
0.213978,POS
0.116563,POS
0.440284,POS
0.325862,POS
1,POS
0.580339,POS
1,POS
1,POS
0.37685,POS
0.193837,POS
0.459722,POS
1,POS
0.814027,POS
1,POS
0.080748,POS
1,POS
0.342468,POS
1,POS
0.120853,POS
1,POS
0.510781,POS
1,POS
0.127762,POS
-0.025017,POS
1,POS
1,POS
0.193837,POS
0.48331,POS
1,POS
0.406866,POS
0.246768,POS
0.359567,POS
1,POS
-0.009327,POS
1,POS
-0.054996,POS
1,POS
1,POS
0.464321,POS
1,POS
0.530399,POS
0.392428,POS
0.58741,POS
1,POS
0.161021,POS
0.185884,POS
0.412722,POS
0.172536,POS
0.558938,POS
-0.021667,POS
0.258691,POS
0.259309,POS
0.176339,POS
0.209633,POS
0.076643,POS
0.104637,POS
1,POS
1,POS
0.211129,POS
0.151725,POS
0.37685,POS
0.568564,POS
0.130149,POS
0.444278,POS
0.256918,POS
0.530399,POS
0.300106,POS
1,POS
0.056526,POS
-0.180835,POS
0.458343,POS
0.565843,POS
0.172536,POS
0.565843,POS
0.673978,POS
1,POS
1,POS
0.397765,POS
0.318853,POS
1,POS
1,POS
0.121793,POS
0.339008,POS
0.277571,POS
1,POS
0.158069,POS
0.222788,POS
0.380078,POS
1,POS
0.582461,POS
0.660962,POS
0.514558,POS
0.325522,POS
0.127806,POS
1,POS
0.114962,POS
1,POS
1,POS
0.471358,POS
1,POS
0.620039,POS
0.269288,POS
0.367382,POS
1,POS
0.511805,POS
0.204177,POS
1,POS
0.325522,POS
0.067056,POS
0.353211,POS
0.151939,POS
1,POS
0.191275,POS
0.368811,POS
0.561817,POS
-0.201962,POS
0.359567,POS
0.277571,POS
1,POS
0.141779,POS
0.215199,POS
0.451836,POS
0.49304,POS
0.024207,POS
0.322649,POS
0.550452,POS
0.269003,POS
0.124667,POS
0.20228,POS
0.155311,POS
1,POS
1,POS
0.325522,POS
1,POS
0.259309,POS
0.595684,POS
1,POS
0.172536,POS
0.385207,POS
0.101291,POS
0.154886,POS
0.288336,POS
0.401078,POS
0.143097,POS
0.662863,POS
1,POS
0.333622,POS
0.258691,POS
0.665716,POS
1,POS
0.209633,POS
1,POS
1,POS
1,POS
0.660962,POS
0.079095,POS
0.722375,POS
1,POS
0.470049,POS
0.474048,POS
0.673978,POS
0.448942,POS
0.451836,POS
0.624469,POS
0.269433,POS
0.397765,POS
0.252464,POS
0.133806,POS
0.362379,POS
0.417358,POS
0.294363,POS
0.294968,POS
1,POS
1,POS
0.43198,POS
0.565843,POS
0.237173,POS
0.318853,POS
0.238744,POS
1,POS
0.080748,POS
1,POS
1,POS
0.564193,POS
0.286208,POS
0.158069,POS
1,POS
0.347553,POS
1,POS
0.50775,POS
0.357858,POS
0.315354,POS
0.036083,POS
0.190932,POS
1,POS
0.080748,POS
1,POS
0.138403,POS
1,POS
-0.037145,POS
-0.034435,POS
1,POS
1,POS
1,POS
1,POS
0.448942,POS
1,POS
0.205929,POS
0.426885,POS
0.530982,POS
0.39809,POS
1,POS
0.359567,POS
0.550452,POS
1,POS
0.215199,POS
0.501294,POS
0.620039,POS
1,POS
1,POS
1,POS
0.325522,POS
0.440416,POS
0.622623,POS
1,POS
1,POS
0.598997,POS
1,POS
0.332473,POS
0.673978,POS
0.43198,POS
0.254049,POS
0.530399,POS
0.614281,POS
0.451836,POS
-0.076786,POS
0.48331,POS
0.550452,POS
0.353628,POS
0.401077,POS
0.412367,POS
1,POS
0.488283,POS
0.102826,POS
1,POS
0.466376,POS
0.259309,POS
0.377554,POS
0.130654,POS
0.20228,POS
0.228143,POS
0.616814,POS
1,POS
1,POS
0.295136,POS
0.364599,POS
0.46438,POS
0.662863,POS
0.620599,POS
0.078431,POS
1,POS
0.348069,POS
0.254121,POS
-0.12734,POS
0.718447,POS
0.158069,POS
1,POS
0.133806,POS
0.385207,POS
0.385734,POS
0.110236,POS
0.632834,POS
0.511805,POS
0.359897,POS
1,POS
0.521602,POS
1,POS
1,POS
0.213166,POS
1,POS
0.393976,POS
1,POS
0.412367,POS
1,POS
0.322649,POS
-0.195528,POS
1,POS
1,POS
0.188422,POS
0.215199,POS
1,POS
-0.056801,POS
0.325522,POS
0.120853,POS
1,POS
0.252821,POS
0.511805,POS
0.591491,POS
1,POS
0.466376,POS
1,POS
0.37685,POS
1,POS
0.40587,POS
0.412229,POS
1,POS
0.665238,POS
0.325522,POS
0.151725,POS
1,POS
1,POS
0.177168,POS
0.053583,POS
0.133806,POS
1,POS
0.27354,POS
0.412367,POS
0.122022,POS
1,POS
0.348528,POS
1,POS
0.074592,POS
-0.08717,POS
1,POS
1,POS
0.37685,POS
0.37685,POS
1,POS
0.514516,POS
1,POS
0.350801,POS
0.521602,POS
0.433585,POS
0.325522,POS
0.124667,POS
-0.116353,POS
0.172536,POS
-0.001564,POS
0.31681,POS
0.350801,POS
0.354798,POS
1,POS
0.209568,POS
0.420794,POS
1,POS
1,POS
0.426885,POS
0.359567,POS
1,POS
-0.049698,POS
0.397765,POS
1,POS
0.076605,POS
1,POS
1,POS
1,POS
0.172536,POS
0.215199,POS
0.211901,POS
1,POS
0.530399,POS
0.522832,POS
0.104637,POS
-0.081267,POS
0.417962,POS
0.514558,POS
0.368901,POS
0.530399,POS
0.396783,POS
0.357858,POS
1,POS
0.376706,POS
0.161534,POS
0.722284,POS
1,POS
0.034627,POS
0.024207,POS
0.624107,POS
0.357858,POS
0.027275,POS
0.142307,POS
0.350801,POS
0.133806,POS
1,POS
0.673978,POS
0.37685,POS
1,POS
0.620599,POS
0.362656,POS
0.662863,POS
1,POS
1,POS
0.157122,POS
0.382562,POS
1,POS
0.422656,POS
0.244618,POS
1,POS
0.48331,POS
0.265114,POS
0.452401,POS
0.080748,POS
0.367382,POS
1,POS
0.22395,POS
-0.066807,POS
-0.063805,POS
0.325522,POS
0.208686,POS
1,POS
0.318881,POS
0.27977,POS
1,POS
1,POS
1,POS
1,POS
0.057294,POS
1,POS
0.063956,POS
0.282351,POS
0.285892,POS
1,POS
0.351222,POS
0.314678,POS
1,POS
0.121793,POS
-0.009368,POS
1,POS
0.530399,POS
0.466376,POS
0.137444,POS
1,POS
0.620039,POS
0.078747,POS
0.612777,POS
1,POS
0.190723,POS
0.322649,POS
0.325522,POS
0.436823,POS
1,POS
0.229162,POS
0.083514,POS
1,POS
0.673978,POS
0.247343,POS
0.488436,POS
0.521196,POS
0.038635,POS
0.511805,POS
1,POS
0.444091,POS
0.422656,POS
0.319266,POS
0.139949,POS
-0.104986,POS
1,POS
0.059854,POS
0.695626,POS
0.230148,POS
0.345906,POS
1,POS
0.208653,POS
0.322649,POS
0.37685,POS
0.080748,POS
0.411276,POS
1,POS
0.333818,POS
0.39809,POS
-0.07605,POS
0.080748,POS
1,POS
1,POS
-0.114296,POS
0.101426,POS
0.333073,POS
0.325522,POS
0.127806,POS
0.753384,POS
0.37728,POS
1,POS
0.524181,POS
0.454145,POS
0.259575,POS
1,POS
1,POS
0.121793,POS
0.339071,POS
0.196337,POS
0.495593,POS
0.21827,POS
0.529691,POS
0.158069,POS
1,POS
0.550452,POS
0.144294,POS
0.417962,POS
0.218059,POS
0.265114,POS
0.133806,POS
0.362089,POS
1,POS
1,POS
1,POS
0.133499,POS
0.587096,POS
0.455593,POS
0.377774,POS
0.160521,POS
0.511805,POS
0.550452,POS
1,POS
0.322649,POS
0.325522,POS
-0.088015,POS
0.414596,POS
1,POS
0.412367,POS
0.325862,POS
0.662863,POS
0.582461,POS
0.20228,POS
0.459722,POS
0.391974,POS
0.50775,POS
1,POS
0.207243,POS
0.298797,POS
0.354234,POS
0.586258,POS
1,POS
0.488283,POS
0.530399,POS
1,POS
1,POS
0.148849,POS
0.249953,POS
0.602063,POS
1,POS
0.086676,POS
0.344325,POS
1,POS
0.585118,POS
0.426885,POS
0.080748,POS
0.190932,POS
0.167041,POS
0.182954,POS
1,POS
1,POS
1,POS
1,POS
0.294968,POS
0.718447,POS
0.138403,POS
0.527612,POS
0.802288,POS
0.582996,POS
0.080748,POS
0.190932,POS
1,POS
0.459055,POS
0.258691,POS
1,POS
0.060503,POS
1,POS
0.104637,POS
0.354798,POS
1,POS
1,POS
0.466376,POS
-0.040558,POS
0.43198,POS
0.059812,POS
0.387576,POS
0.359567,POS
0.470691,POS
1,POS
1,POS
1,POS
0.162407,POS
0.121793,POS
0.349953,POS
0.455601,POS
0.356743,POS
-0.026291,POS
0.368413,POS
0.294968,POS
-0.044746,POS
0.310411,POS
0.565843,POS
0.466376,POS
1,POS
0.349937,POS
0.350801,POS
0.367382,POS
1,POS
1,POS
0.158069,POS
-0.018471,POS
0.455023,POS
1,POS
0.268198,POS
0.368784,POS
0.414239,POS
0.322649,POS
0.21914,POS
0.080748,POS
0.149593,POS
1,POS
0.143097,POS
0.558775,POS
0.565843,POS
1,POS
0.495593,POS
1,POS
1,POS
0.30597,POS
1,POS
1,POS
0.580057,POS
0.510275,POS
1,POS
1,POS
0.322649,POS
0.286208,POS
0.451836,POS
0.201977,POS
0.412367,POS
1,POS
0.602836,POS
1,POS
1,POS
0.325522,POS
0.179126,POS
0.533215,POS
1,POS
0.127762,POS
1,POS
0.451836,POS
0.606297,POS
0.530399,POS
0.428231,POS
-0.021001,POS
1,POS
1,POS
-0.121902,POS
0.133039,POS
0.440284,POS
0.38708,POS
0.490197,POS
0.401077,POS
0.495593,POS
1,POS
0.351222,POS
0.213466,POS
0.13014,POS
0.598997,POS
-0.008023,POS
1,POS
0.113408,POS
1,POS
0.09267,POS
0.327451,POS
0.113714,POS
1,POS
0.176879,POS
-0.001564,POS
0.530399,POS
0.333818,POS
0.283353,POS
1,POS
1,POS
0.602063,POS
0.242476,POS
0.501294,POS
0.158069,POS
0.021565,POS
0.133806,POS
1,POS
0.088625,POS
0.511805,POS
0.521196,POS
0.246178,POS
0.495593,POS
0.586258,POS
0.358434,POS
0.172536,POS
0.00497,POS
0.504604,POS
0.511805,POS
1,POS
0.304025,POS
1,POS
0.635754,POS
-0.26104,POS
0.266543,POS
0.027275,POS
0.351222,POS
1,POS
0.431384,POS
1,POS
0.510275,POS
0.403329,POS
0.192438,POS
0.133806,POS
0.329394,POS
1,POS
-0.076786,POS
0.457561,POS
0.491334,POS
1,POS
0.673978,POS
0.424056,POS
0.466376,POS
0.172536,POS
0.511805,POS
0.367382,POS
0.382952,POS
0.212311,POS
0.304025,POS
0.802288,POS
0.382952,POS
1,POS
0.325522,POS
0.496683,POS
1,POS
1,POS
0.211699,POS
0.27354,POS
1,POS
0.159144,POS
1,POS
0.104637,POS
1,POS
1,POS
0.673978,POS
0.455601,POS
-0.114296,POS
1,POS
0.344325,POS
0.104637,POS
0.37685,POS
1,POS
1,POS
0.64685,POS
1,POS
0.282351,POS
0.375809,POS
-0.056772,POS
0.257155,POS
1,POS
0.247302,POS
1,POS
0.036529,POS
0.530399,POS
0.254421,POS
1,POS
0.369593,POS
0.50775,POS
0.58741,POS
0.401078,POS
0.31681,POS
1,POS
0.127762,POS
1,POS
1,POS
1,POS
1,POS
0.058138,POS
0.276774,POS
0.514558,POS
0.483582,POS
1,POS
-0.274752,POS
1,POS
0.017013,POS
0.055208,POS
0.451836,POS
0.328306,POS
0.270515,POS
1,POS
0.582996,POS
0.499096,POS
1,POS
0.104637,POS
0.23884,POS
0.602063,POS
0.519814,POS
0.514558,POS
0.510781,POS
0.31681,POS
1,POS
0.299796,POS
0.632834,POS
1,POS
1,POS
0.247543,POS
0.161021,POS
0.113736,POS
0.197501,POS
0.200366,POS
0.339758,POS
0.397886,POS
0.544156,POS
0.042907,POS
1,POS
0.121793,POS
0.325522,POS
0.673978,POS
0.662863,POS
0.110236,POS
0.418117,POS
0.333818,POS
1,POS
1,POS
1,POS
0.139314,POS
0.214635,POS
0.325522,POS
0.209568,POS
0.233701,POS
0.20228,POS
0.375809,POS
0.517645,POS
1,POS
0.452971,POS
1,POS
0.551957,POS
0.641941,POS
1,POS
0.367382,POS
0.080748,POS
1,POS
0.198593,POS
0.415084,POS
0.157799,POS
1,POS
0.382952,POS
0.112535,POS
0.550452,POS
0.46182,POS
1,POS
0.139314,POS
1,POS
0.514558,POS
0.514558,POS
0.113027,POS
0.38126,POS
1,POS
0.325522,POS
0.485499,POS
0.359567,POS
0.638103,POS
0.325522,POS
1,POS
0.495593,POS
0.190932,POS
1,POS
0.325522,POS
0.325522,POS
1,POS
0.175706,POS
1,POS
1,POS
0.062764,POS
0.185284,POS
0.275059,POS
1,POS
0.495593,POS
0.37685,POS
1,POS
0.250929,POS
1,POS
-0.099605,POS
0.429232,POS
0.162407,POS
-0.114296,POS
0.177441,POS
0.076605,POS
0.504604,POS
0.315354,POS
0.64836,POS
0.350119,POS
-0.274752,POS
0.40587,POS
0.37685,POS
0.226803,POS
0.048792,POS
1,POS
-0.118773,POS
0.172536,POS
0.080748,POS
0.673978,POS
1,POS
0.121793,POS
0.401077,POS
0.122022,POS
0.325522,POS
1,POS
0.270589,POS
1,POS
-0.067758,POS
0.180136,POS
0.495593,POS
0.017404,POS
0.627686,POS
1,POS
0.172536,POS
0.325835,POS
0.376317,POS
1,POS
0.614281,POS
0.299144,POS
1,POS
0.158069,POS
1,POS
1,POS
-0.115095,POS
0.068424,POS
1,POS
-0.076786,POS
0.351222,POS
0.470791,POS
1,POS
1,POS
0.415084,POS
0.587096,POS
0.38339,POS
0.081409,POS
0.511805,POS
1,POS
0.550452,POS
0.37685,POS
1,POS
1,POS
-0.114614,POS
0.414596,POS
0.58741,POS
0.131236,POS
0.367382,POS
1,POS
0.397906,POS
1,POS
0.318853,POS
0.37685,POS
0.185879,POS
0.484578,POS
0.230727,POS
